Name,X,Y
Bananal,738,119
Arapei,684,122
Sao Jose do Barreiro,642,101
Areias,598,75
Queluz,566,52
Lavrinhas,526,65
Silveiras,539,124
Cunha,490,261
Ubatuba,440,402
Cruzeiro,495,73
Cachoeira Paulista,480,104
Canas,465,124
Piquete,430,64
Lorena,437,130
Guaratingueta,415,178
Aparecida,385,210
Potim,359,157
Roseira,362,190
Lagoinha,403,265
Sao Luis do Paraitinga,357,319
Natividade da Serra,306,373
Redencao da Serra,273,331
Taubate,269,240
Tremembe,273,214
Pindamonhangaba,308,198
Campos do Jordao,257,129
Sao Bento do Sapucai,212,107
Santo Antonio do Pinhal,232,161
Monteiro Lobato,165,210
Cacapava,212,266
Jambeiro,212,324
Paraibuna,225,379
Caraguatatuba,309,465
Sao Sebastiao,309,520
Ilhabela,339,527
Sao Jose dos Campos,143,293
Igarata,37,286
Jacarei,115,340
Santa Branca,141,381